"","b_cells","cd14_monocytes","cd56_nk","cd8_t_cell","cd4_t_cell"
"CD74",2.04586407753997,1.28072884014364,-0.149088817621554,-0.377950633690878,-0.344786257308853
"HLA.DRA",2.44121457643179,1.41476417787451,-0.407002452493583,-0.400553282760587,-0.38548391327523
"CD79A",2.44523372444756,-0.381233290896548,-0.375779681168105,-0.239711506763309,-0.354379303324379
"CD79B",2.22412247396374,-0.386229919581984,-0.234948521318396,-0.353957365241609,-0.286689985549791
"HLA.DRB1",2.08410310931839,2.16923285739042,-0.387533193685567,-0.382701198257079,-0.359471653307679
"FTH1",0.0714163622704833,1.72757661423706,-0.581620497891334,-0.335162206550212,0.115856862351203
"TYROBP",-0.371014133012081,2.88664495054771,2.34705117585709,-0.27957746551145,-0.369668500448498
"S100A9",-0.171326846540435,5.33479203805964,-0.176866888406609,-0.171595533435722,-0.159825180682042
"S100A8",-0.163097830377389,5.37988690699691,-0.165944181252875,-0.167477901329977,-0.167494749204861
"FTL",0.1284031889169,2.14575167759485,-0.322216018622401,-0.140067449840022,-0.0374811512088882
"GNLY",-0.374695475780195,-0.348752494222762,2.79215500592314,-0.0540746289262345,-0.352843377753109
"NKG7",-0.406427576559953,-0.364462165148681,2.66393091259049,0.0908918709884696,-0.378396425940797
"TYROBP",-0.371014133012081,2.88664495054771,2.34705117585709,-0.27957746551145,-0.369668500448498
"RPS21",0.010560487249567,-0.389297371417952,0.52061986433357,0.387532421153361,-0.216444363619389
"GZMB",-0.311826506102285,-0.29762037752641,2.69358213905983,-0.16119841359017,-0.311872042980261
"CD8B",-0.455450019530404,-0.456069413585211,-0.448257541891504,1.66955010435891,-0.434196566661402
"CD3E",-1.11767868295361,-1.11675619679565,-1.04842439472615,0.264091325373389,0.381007234247933
"CTSW",-0.561255872389288,-0.5638368174961,1.70242808812456,0.49493989662059,-0.324218756849461
"TPT1",-0.448377618562155,-2.1741470338815,-0.113731095684887,0.156657183990692,0.176052952775035
"EEF1A1",-0.18222224866886,-1.4991021204527,-1.04417781413309,0.00515787806554636,0.296773641793656
"LTB",0.51038690283576,-1.70980680408251,-1.6612462431962,-0.182231731287938,0.334021561089209
"FTH1",0.0714163622704833,1.72757661423706,-0.581620497891334,-0.335162206550212,0.115856862351203
"CD3E",-1.11767868295361,-1.11675619679565,-1.04842439472615,0.264091325373389,0.381007234247933
"MT.CO2",0.236779244733537,0.135777502315477,0.548280297719205,0.286549102955268,-0.260579987312185
"RPL34",0.114523310302023,-0.18231950988929,-0.149543813046538,0.493964782414884,-0.177032250671148
